[13:24:55]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:24:56]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:24:56]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:24:56]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:24:56]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:24:56]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:24:56]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:24:56]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:24:56]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:24:56]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:24:56]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:24:57]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:24:57]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:24:57]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:24:57]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:24:57]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:24:57]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:24:57]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:24:57]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:24:58]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:24:58]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:25:08]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:25:09]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:25:09]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:25:09]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:25:09]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:25:09]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:25:09]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:25:10]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:25:10]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:25:11]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:25:11]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:25:11]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:25:11]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:25:11]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:25:12]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:25:12]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:25:12]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:25:13]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:25:13]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:25:13]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:25:13]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:25:13]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:25:13]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:25:15]	CT-2894 Lechu has taken 10 damage from nb_mercenary.
[13:25:16]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:25:16]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:25:16]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:25:16]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:25:16]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:25:16]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:25:16]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:25:17]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:25:17]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:25:17]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:25:17]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:25:17]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:25:17]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:25:17]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:25:18]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:25:18]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:25:18]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:25:18]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:25:18]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:25:18]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:25:18]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:25:18]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:25:18]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:25:19]	CT-2894 Lechu has taken 15 damage from nb_mercenary.
[13:25:19]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:25:20]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:25:21]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:25:21]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:25:21]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:25:21]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:25:21]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:25:21]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:25:21]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:25:21]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:25:22]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:25:22]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:25:22]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:25:22]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:25:22]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:25:22]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:25:22]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:25:22]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:25:23]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:25:23]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:25:23]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:25:41]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:26:13]	CT-2894 Lechu entered observer.
[13:26:14]	CT-2894 Lechu exited observer at their location.
[13:26:34]	CT-2894 Lechu has taken 40 damage from nb_mercenary_melee.
[13:26:54]	CT-2894 Lechu has taken 50 damage from nb_mercenary_melee.
[13:26:56]	CT-2894 Lechu has taken 50 damage from nb_mercenary_melee.
[13:26:56]	nb_mercenary_melee has killed CT-2894 Lechu.
[13:27:11]	CT-2894 Lechu entered observer.
[13:27:23]	CT-2894 Lechu exited observer at their location.
[13:27:35]	CT-2894 Lechu entered observer.
[13:27:42]	CT-2894 Lechu exited observer at their location.
[13:27:50]	CT-2894 Lechu entered observer.
[13:27:50]	CT-2894 Lechu exited observer at their location.
[13:27:55]	CT-2894 Lechu has taken 50 damage from nb_mercenary_melee.
[13:27:58]	CT-2894 Lechu has taken 50 damage from nb_mercenary_melee.
[13:28:18]	CT-2894 Lechu has taken 65 damage from nb_mercenary_melee.
[13:28:32]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:28:32]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:28:33]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:28:37]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:28:38]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:28:38]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:28:38]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:28:39]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:29:26]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:29:26]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:29:26]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:29:26]	CT-2894 Lechu has taken 2 damage from nb_type1.
[13:31:31]	CT-2894 Lechu ran 'take' on item 'Amunicja 5.56x45' (#24844)
[13:31:31]	CT-2894 Lechu has gained a 'Amunicja 5.56x45' #24844.
[13:31:43]	CT-2894 Lechu has gained 46 RU.
[13:31:45]	CT-2894 Lechu has gained a 'Hełm ACH' #24850.
[13:31:48]	CT-2894 Lechu ran 'Equip' on item 'Hełm ACH' (#24850)
[13:32:05]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:32:06]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:32:06]	CT-2894 Lechu has taken 10 damage from nb_mercenary.
[13:32:06]	CT-2894 Lechu has taken 7 damage from nb_mercenary.
[13:32:07]	CT-2894 Lechu has taken 12 damage from nb_mercenary.
[13:32:07]	CT-2894 Lechu has taken 7 damage from nb_mercenary.
[13:32:16]	CT-2894 Lechu has taken 2 damage from nb_mercenary.
[13:32:19]	CT-2894 Lechu has taken 7 damage from nb_mercenary.
[13:32:20]	CT-2894 Lechu has taken 12 damage from nb_mercenary.
[13:32:20]	CT-2894 Lechu has taken 15 damage from nb_mercenary.
[13:32:20]	CT-2894 Lechu has taken 12 damage from nb_mercenary.
[13:32:20]	CT-2894 Lechu has lost a 'Hełm ACH' #24850.
[13:32:20]	CT-2894 Lechu has taken 50 damage from nb_mercenary_melee.
[13:32:21]	CT-2894 Lechu has taken 10 damage from nb_mercenary.
[13:32:21]	CT-2894 Lechu has taken 12 damage from nb_mercenary.
[13:32:33]	CT-2894 Lechu has taken 10 damage from nb_mercenary.
[13:32:33]	CT-2894 Lechu has taken 10 damage from nb_mercenary.
[13:32:34]	CT-2894 Lechu has taken 5 damage from nb_mercenary.
[13:32:52]	CT-2894 Lechu ran 'take' on item 'Sok' (#24851)
[13:32:52]	CT-2894 Lechu has gained a 'Sok' #24851.
